
***begin of header***
date&time [local time];type;PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];CalPM10;CalPM4;CalPM2.5;CalPM1;T-fact;T-out [°C];T-aerosol[°C];rH [%];status;date&time [UTC];longitude;lattitude;height [m];serial-no;time-resolution;software-version;cell-no;last calibration [local time]
***end of header***

2020-08-17 03:55:00;measure;0,8;0,7;0,7;0,2;1,1;1,2;1,1;1,1;0,8;24,3;32,6;34,6;800,0;2020-08-17 01:54:29;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:00:00;measure;0,4;0,4;0,4;0,0;1,1;1,2;1,1;1,1;0,8;24,1;32,5;34,6;800,0;2020-08-17 01:59:29;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:05:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,9;32,5;34,6;800,0;2020-08-17 02:04:30;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:10:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,8;32,4;34,5;800,0;2020-08-17 02:09:30;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:15:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,9;32,3;34,8;800,0;2020-08-17 02:14:30;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:20:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,8;32,3;35,0;800,0;2020-08-17 02:19:30;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:25:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,8;32,2;35,1;800,0;2020-08-17 02:24:30;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:30:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,6;32,1;35,3;800,0;2020-08-17 02:29:31;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:35:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,5;32,0;35,5;800,0;2020-08-17 02:34:31;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:40:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,4;32,0;35,7;800,0;2020-08-17 02:39:31;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:45:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,4;31,9;35,8;800,0;2020-08-17 02:44:31;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
